"date","prec","tmin","tmax","bullet","color","um"
"Sab 1","16.0","9.1","13.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 2","24.0","6.9","12.0","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
"Lun 3","10.0","7.1","12.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 4","6.0","6.9","12.1","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mer 5","14.0","6.7","11.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 6","14.0","6.4","12.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 7","3.0","1.7","13.0","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Sab 8","9.0","7.6","12.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 9","8.0","5.9","13.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Lun 10","16.0","5.4","11.0","https://www.3bmeteo.com/images/set_icone/7/10.png","#1461A1","mm"
"Mar 11","21.0","7.4","12.2","https://www.3bmeteo.com/images/set_icone/7/4.png","#1461A1","mm"
"Mer 12","5.0","6.7","12.2","https://www.3bmeteo.com/images/set_icone/7/9.png","#1461A1","mm"
"Gio 13","0.0","2.8","13.2","https://www.3bmeteo.com/images/set_icone/7/45.png","#1461A1","mm"
"Ven 14","0.0","7.3","16.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 15","0.0","4.1","17.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Dom 16","0.0","7.0","18.1","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 17","0.0","8.1","18.2","https://www.3bmeteo.com/images/set_icone/7/50.png","#1461A1","mm"
"Mar 18","0.0","5.7","21.0","https://www.3bmeteo.com/images/set_icone/7/52.png","#1461A1","mm"
"Mer 19","0.0","10.9","16.1","https://www.3bmeteo.com/images/set_icone/7/2.png","#1461A1","mm"
"Gio 20","8.0","8.3","13.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 21","0.0","4.6","15.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Sab 22","8.0","7.0","14.3","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Dom 23","0.0","2.4","14.2","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Lun 24","0.0","1.5","13.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mar 25","0.0","1.7","13.0","https://www.3bmeteo.com/images/set_icone/7/44.png","#1461A1","mm"
"Mer 26","3.0","3.0","13.1","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Gio 27","14.0","5.7","14.2","https://www.3bmeteo.com/images/set_icone/7/3.png","#1461A1","mm"
"Ven 28","17.0","2.9","11.0","https://www.3bmeteo.com/images/set_icone/7/8.png","#1461A1","mm"
